model,elpd_loo,safe_elpd_loo,elpd_diff,safe_elpd_diff,dse,safe_dse,elpd_diff_quantile,n_bad_k,n_vars
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(2)(p=2.5, 20)]",-81417.68168392469,-81417.68168392469,79.87912341857728,82.06505338908624,20.175322987373885,20.056187866721075,-0.052281459940146054,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(5)(p=2.5, 20)]",-81425.3817398647,-81425.3817398647,87.57917935859386,89.41150598996444,22.942454332935508,22.868872369597085,-0.05661299763277441,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(6)(p=2.5, 5)]",-81430.5083301764,-81430.5083301764,92.70576967029288,95.91807602866817,46.01118138471274,45.89863559995245,-0.16072166185809994,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(5)(p=2.5, 5)]",-81435.00499840092,-81435.00499840092,97.20243789483615,100.44837880218614,38.222955633227684,38.08453195809161,-0.1279362301077839,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmax_log_p(6)(p=2.5, 5)]",-81453.73125441687,-81447.1237461261,115.92869391077387,118.87367121752274,44.83925801465579,44.73250972167681,-0.15809300061091455,1,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[t2m_min_p(6)(p=2.5, 20)]",-81463.05088414627,-81447.90929882968,125.24832364017759,117.297196257753,25.383906134252918,23.290798390454285,-0.06323673601186358,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmax_log_p(5)(p=2.5, 5)]",-81453.52034719038,-81453.52034719038,115.71778668427628,118.89908318926479,36.46471768074922,36.325252956912806,-0.12172865448492837,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(5)(p=2.5, 5)]",-81460.02353302826,-81460.02353302826,122.22097252217011,125.41557660997873,40.307645385612325,40.180442232047874,-0.14012542072466055,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(6)(p=2.5, 5)]",-81486.13394430459,-81486.13394430459,148.33138379848302,151.53293194413465,48.111090981482334,48.00403422298526,-0.16623210513661252,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[rh_mean_p(5)(p=2.5, 5)]",-81490.23016665097,-81490.23016665097,152.42760614488293,155.49648260259332,38.12242405872322,37.99818380329804,-0.1339697597534247,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_mean_p(6)(p=5.0, 10)]",-81529.7767212416,-81529.7767212416,191.97416073548249,195.04227575630563,49.21258618030992,49.116351528330654,-0.16765634021265896,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[rh_mean_p(6)(p=2.5, 5)]",-81532.60886690071,-81532.60886690071,194.8063063946184,197.83196923718782,45.44369193901471,45.3423108601974,-0.16245588282790216,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmean_log_p(4)(p=2.5, 5)]",-81533.1497285965,-81533.1497285965,195.3471680904027,198.6124135923652,44.939404493229105,44.820026986726546,-0.15135920496025868,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmax_log_p(4)(p=2.5, 5)]",-81550.63008808979,-81539.71295097287,212.827527583701,215.83727630874768,45.67707789890633,45.559008448221654,-0.15499163198445207,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_max_p(6)(p=2.5, 20)]",-81549.81487231227,-81549.81487231227,212.01231180617825,215.23857127879126,50.74640977446403,50.643184099720514,-0.16492329149093837,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(4)(p=2.5, 5)]",-81559.75454532873,-81559.75454532873,221.95198482263163,225.2256951292352,44.42044686945549,44.29896282383415,-0.1486887664479859,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmean_log_p(2)(p=2.5, 5)]",-81560.81606974147,-81560.81606974147,223.0135092353733,225.19636805996706,35.78277372621841,35.7155617452619,-0.10058740241556596,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_max_p(0)(p=2.5, 20)]",-81561.28601620387,-81561.28601620387,223.4834556977709,226.6277430915457,51.03418288325848,50.936651664103664,-0.1718851291034266,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_max_p(1)(p=2.5, 20)]",-81567.47263840048,-81567.4706654427,229.6700778943884,232.58677571341377,51.531728928403105,51.448828982708775,-0.1750439987130104,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmean_log_p(4)(p=2.5, 5)]",-81569.98436151035,-81569.98436151035,232.18180100424286,235.38357345623444,43.06158824415446,42.941667878803145,-0.14598314130875567,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_min_p(6)(p=2.5, 20)]",-81577.96349511943,-81577.96349511943,240.16093461333026,243.30826372662372,47.558563692298115,47.45364135595138,-0.15816417775189215,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[rh_mean_p(4)(p=2.5, 5)]",-81583.1474896904,-81583.1474896904,245.34492918429532,248.58677583791342,42.61418135058303,42.489908842760535,-0.14366488803429006,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[tp_24hmax_log_p(4)(p=2.5, 5)]",-81586.18727306476,-81586.18727306476,248.3847125586624,251.57398717737175,43.158028430880904,43.039257587605015,-0.15097575949329922,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmax_log_p(2)(p=2.5, 5)]",-81591.81530319632,-81591.81530319632,254.0127426902265,256.8423242944482,34.08423438296553,33.96569483773441,-0.09504318424590504,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[rh_mean_p(0)(p=2.5, 5)]",-81604.38563609125,-81598.45242153943,266.5830755851524,268.57671055916296,49.25545763379303,49.154004875951834,-0.17392791886988096,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_max_p(2)(p=2.5, 20)]",-81607.93386861356,-81607.93386861356,270.13130810746344,273.1870311545491,53.13290251550569,53.04431061605534,-0.17697371361944114,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(2)(p=2.5, 20)]",-81608.40253821315,-81608.40253821315,270.5999777070563,273.8415679485715,52.86168388770614,52.76150469628509,-0.16679943660820667,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmean_log_p(1)(p=2.5, 5)]",-81608.92821394347,-81608.92821394347,271.1256534373723,273.9915162822668,32.42441474450459,32.29651015903485,-0.08938760567998259,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(2)(p=2.5, 5)]",-81614.601936864,-81609.27603335251,276.79937635789224,279.710903899089,54.363233892106656,54.28331216336901,-0.17772056972539405,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(6)(p=2.5, 20)]",-81610.01450929468,-81610.01450929468,272.211948788571,275.24322035506736,48.003740888776925,47.907218279969285,-0.1676413143421968,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(0)(p=2.5, 20)]",-81612.81626604631,-81612.81626604631,275.0137055402114,278.25538116360684,52.206640125945206,52.10518477939686,-0.16580137725616526,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(1)(p=2.5, 20)]",-81613.58200319018,-81613.58200319018,275.7794426840751,279.01858257387266,53.02876954790212,52.929043946305114,-0.16461841597593754,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[tp_24hmean_log_p(2)(p=2.5, 5)]",-81616.43654294386,-81616.43654294386,278.6339824377698,281.59394613652773,54.697125472033,54.616345777613894,-0.18228045854151526,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(3)(p=2.5, 20)]",-81618.52815215357,-81618.52815215357,280.7255916474645,283.9144746490128,53.87185115883029,53.77669144687301,-0.1705235829616484,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(0)(p=2.5, 5)]",-81619.33755774423,-81619.33755774423,281.5349972381417,284.73804349782506,52.33761730493383,52.238791149829936,-0.16929642888645874,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[rh_mean_p(1)(p=2.5, 5)]",-81620.44994214023,-81620.44994214023,282.64738163413836,285.63088963049915,47.78887503452901,47.69491362803235,-0.17073671316107525,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmean_log_p(6)(p=2.5, 5)]",-81621.43604534533,-81621.43604534533,283.6334848392204,285.4741805770143,34.675749437576066,34.62623057263002,-0.09483070932309269,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[tp_24hmean_log_p(0)(p=2.5, 5)]",-81622.57691775789,-81622.57691775789,284.7743572518061,287.1069014811129,30.941287246194005,30.85234217943876,-0.08709123364682017,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(5)(p=2.5, 20)]",-81625.49213491975,-81625.49213491975,287.6895744136478,290.90936543347453,52.30054185409768,52.200595775098684,-0.16590106225496873,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[rh_mean_p(1)(p=2.5, 5)]",-81626.66575699273,-81626.66575699273,288.8631964866269,291.91873548277476,51.41591205227421,51.324321071198774,-0.16620318007205487,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_min_p(4)(p=2.5, 20)]",-81627.72221604579,-81627.72221604579,289.91965553969067,293.1332355056628,53.60837131985726,53.51123720985449,-0.17012470922370576,0,3
"[rh_mean_p(1)(p=2.5, 5)]+[tp_24hmean_log_p(5)(p=2.5, 5)]+[rh_mean_p(6)(p=2.5, 5)]",-81657.6226974852,-81630.35986267714,319.8201369790977,315.7211224848826,31.753884411193514,31.187120475491085,-0.08320027559369905,1,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_min_p(5)(p=2.5, 20)]",-81630.40139808685,-81630.40139808685,292.59883758075034,295.74015192067736,45.67191168200142,45.56291085550771,-0.1520561397137094,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(0)(p=2.5, 20)]",-81631.75566710025,-81631.75566710025,293.9531065941603,296.85758962992054,48.81244785993058,48.725226629531015,-0.17053050076108608,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_max_p(4)(p=2.5, 20)]+[t2m_mean_p(3)(p=5.0, 10)]",-81633.56325233457,-81633.56325233457,295.76069182847624,299.0288859101786,50.74802885709534,50.64188533843093,-0.16521958938034415,0,3
"[tp_24hmean_log_p(1)(p=2.5, 5)]+[t2m_mean_p(4)(p=5.0, 10)]+[t2m_max_p(1)(p=2.5, 20)]",-81633.81998427153,-81633.81967404077,296.01742376542734,298.82687400420804,49.285535928775026,49.2046844334959,-0.172400179004999,1,3
